# Acesta este un export al documentului cu Statistica Pe Candidați de
# pe site-ul BEC oficial, de aici http://www.becparlamentare2012.ro/statistici%20rezultate%20finale.html
#
# Acest fișier este folosit de results_2012_import.php pentru a asocia
# un număr de voturi cu fiecare candidat în parte și a le adăuga în baza
# noastră de date în tabelele proprii.
#
# NUME,NumeCompetitor,Nr circumscriptie,Nume circ,Colegiu senat,Colegiu Deputati,Total voturi pe colegiu,Total alegatori prezenti,Voturi Obtinute de candidat,Mandat Atribuit,Procent
#
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,121,0,0.31%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,28,0,0.07%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,9,0,0.02%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,43,Strainatate (CE. 43),,1,39545,40152,125,0,0.32%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,14,0,0.04%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,54,0,0.14%
BRÎNZA WILLIAM - GABRIEL,ALIANŢA ROMÂNIA DREAPTĂ,43,Strainatate (CE. 43),,1,39545,40152,11787,0,29.81%
SOCACIU VICTOR,UNIUNEA SOCIAL LIBERALĂ,43,Strainatate (CE. 43),,1,39545,40152,12347,0,31.22%
GRABAN ZSOLT - ATTILA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,913,0,2.31%
MIHAI AURELIAN,PARTIDUL POPORULUI - DAN DIACONESCU,43,Strainatate (CE. 43),,1,39545,40152,12682,1,32.07%
MOLNAR ŞTEFAN - SILVIU,PARTIDUL ROMÂNIA MARE,43,Strainatate (CE. 43),,1,39545,40152,867,0,2.19%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,41,0,0.10%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",43,Strainatate (CE. 43),,1,39545,40152,79,0,0.20%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,10,0,0.03%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,239,0,0.60%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,43,Strainatate (CE. 43),,1,39545,40152,51,0,0.13%
VIŢĂ GHEORGHE,PARTIDUL POPORULUI - DAN DIACONESCU,43,Strainatate (CE. 43),,2,14605,14722,531,0,3.64%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,9,0,0.06%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,8,0,0.05%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,16,0,0.11%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,9,0,0.06%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,43,Strainatate (CE. 43),,2,14605,14722,12,0,0.08%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,5,0,0.03%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,21,0,0.14%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,4,0,0.03%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,18,0,0.12%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,39,0,0.27%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,9,0,0.06%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,5,0,0.03%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,18,0,0.12%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,12,0,0.08%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,16,0,0.11%
TOMAC EUGEN,ALIANŢA ROMÂNIA DREAPTĂ,43,Strainatate (CE. 43),,2,14605,14722,11473,1,78.56%
ALEXEEV VICTOR,UNIUNEA SOCIAL LIBERALĂ,43,Strainatate (CE. 43),,2,14605,14722,1932,0,13.23%
KOVÁCS RICHÁRD,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,23,0,0.16%
ALEXANDRU DANIEL,PARTIDUL ECOLOGIST ROMÂN,43,Strainatate (CE. 43),,2,14605,14722,153,0,1.05%
EMCIUC NATALIA,PARTIDUL ROMÂNIA MARE,43,Strainatate (CE. 43),,2,14605,14722,262,0,1.79%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,9,0,0.06%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,2,14605,14722,1,0,0.01%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",43,Strainatate (CE. 43),,2,14605,14722,20,0,0.14%
ABRAHAM ZOLTÁN - ROBERT,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,58,0,1.71%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,0,0,0.00%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,3,0,0.09%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,43,Strainatate (CE. 43),,3,3389,3429,2,0,0.06%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,2,0,0.06%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,1,0,0.03%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,4,0,0.12%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,2,0,0.06%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,2,0,0.06%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,2,0,0.06%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,20,0,0.59%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,0,0,0.00%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,1,0,0.03%
SÎNGEORZAN GEORGE,PARTIDUL ECOLOGIST ROMÂN,43,Strainatate (CE. 43),,3,3389,3429,173,0,5.10%
HRISTESCU GEORGE - CELESTINO,PARTIDUL POPORULUI - DAN DIACONESCU,43,Strainatate (CE. 43),,3,3389,3429,148,0,4.37%
PIRĂU SAMOILĂ,PARTIDUL NAŢIONAL DEMOCRAT CREŞTIN,43,Strainatate (CE. 43),,3,3389,3429,38,0,1.12%
GUŢU NICOLAE,PARTIDUL ROMÂNIA MARE,43,Strainatate (CE. 43),,3,3389,3429,30,0,0.89%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,8,0,0.24%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,0,0,0.00%
LUBANOVICI MIRCEA,ALIANŢA ROMÂNIA DREAPTĂ,43,Strainatate (CE. 43),,3,3389,3429,1741,1,51.37%
TĂNASE IONELA,UNIUNEA SOCIAL LIBERALĂ,43,Strainatate (CE. 43),,3,3389,3429,1116,0,32.93%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",43,Strainatate (CE. 43),,3,3389,3429,3,0,0.09%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,16,0,0.47%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,17,0,0.50%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,3,3389,3429,2,0,0.06%
MIRCEA VIRGINIA,PARTIDUL POPORULUI - DAN DIACONESCU,43,Strainatate (CE. 43),,4,2505,2575,130,0,5.19%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,125,0,4.99%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,43,Strainatate (CE. 43),,4,2505,2575,4,0,0.16%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,2,0,0.08%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,6,0,0.24%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,5,0,0.20%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,1,0,0.04%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,8,0,0.32%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,1,0,0.04%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,20,0,0.80%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,7,0,0.28%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,3,0,0.12%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,0,0,0.00%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,8,0,0.32%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,5,0,0.20%
BATURI CRISTINA,ALIANŢA ROMÂNIA DREAPTĂ,43,Strainatate (CE. 43),,4,2505,2575,599,0,23.91%
RAEŢCHI OVIDIU ALEXANDRU,UNIUNEA SOCIAL LIBERALĂ,43,Strainatate (CE. 43),,4,2505,2575,1291,1,51.54%
GRÜMAN RÓBERT - CSONGOR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,160,0,6.39%
GHIŢĂ NICULIŢA,PARTIDUL ECOLOGIST ROMÂN,43,Strainatate (CE. 43),,4,2505,2575,117,0,4.67%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,7,0,0.28%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,2,0,0.08%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",43,Strainatate (CE. 43),,4,2505,2575,4,0,0.16%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,43,Strainatate (CE. 43),,4,2505,2575,0,0,0.00%
SĂVOIU ION,PARTIDUL ECOLOGIST ROMÂN,43,Strainatate (CE. 43),1,,54119,54874,1895,0,3.50%
MIHALACHE EUGEN - COSTINEL,PARTIDUL POPORULUI - DAN DIACONESCU,43,Strainatate (CE. 43),1,,54119,54874,13423,0,24.80%
HANTZ PETER - BELLA,ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA,43,Strainatate (CE. 43),1,,54119,54874,371,0,0.69%
MIHAELA-MIHAI-NEAGU MIHAELA,PARTIDUL ROMÂNIA MARE,43,Strainatate (CE. 43),1,,54119,54874,1187,0,2.19%
NAGY ZOLTÁN - LEVENTE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,43,Strainatate (CE. 43),1,,54119,54874,705,0,1.30%
BADEA VIOREL - RICEARD,ALIANŢA ROMÂNIA DREAPTĂ,43,Strainatate (CE. 43),1,,54119,54874,21727,1,40.15%
DAVID CRISTIAN,UNIUNEA SOCIAL LIBERALĂ,43,Strainatate (CE. 43),1,,54119,54874,14811,0,27.37%
ANGHEL ADRIAN,UNIUNEA SOCIAL LIBERALĂ,43,Strainatate (CE. 43),2,,5870,6004,2498,1,42.56%
ROVENTA EUGEN IONEL,ALIANŢA ROMÂNIA DREAPTĂ,43,Strainatate (CE. 43),2,,5870,6004,2361,0,40.22%
KOVACS PETER,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,43,Strainatate (CE. 43),2,,5870,6004,239,0,4.07%
SÎNGEORZAN DOREL,PARTIDUL ECOLOGIST ROMÂN,43,Strainatate (CE. 43),2,,5870,6004,354,0,6.03%
ILIOI DORU LIVIU,PARTIDUL POPORULUI - DAN DIACONESCU,43,Strainatate (CE. 43),2,,5870,6004,284,0,4.84%
ILICA CAROLINA - FLOARE,PARTIDUL ROMÂNIA MARE,43,Strainatate (CE. 43),2,,5870,6004,134,0,2.28%
SZALMA GYÖNGYVÉR-TÜNDE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,23,IALOMIŢA,,4,22733,23904,38,0,0.17%
BADEA NELU,PARTIDUL POPORULUI - DAN DIACONESCU,23,IALOMIŢA,,4,22733,23904,5180,0,22.79%
PANŢURU TUDOR,ALIANŢA ROMÂNIA DREAPTĂ,23,IALOMIŢA,1,,50646,52456,5522,0,10.90%
RADU PAROŞ-MIHĂIŢĂ,PARTIDUL ECOLOGIST ROMÂN,23,IALOMIŢA,1,,50646,52456,1919,0,3.79%
PAVEL MARIAN,UNIUNEA SOCIAL LIBERALĂ,23,IALOMIŢA,1,,50646,52456,31974,1,63.13%
ERDŐS ILDIKÓ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,23,IALOMIŢA,1,,50646,52456,210,0,0.41%
STOICA ŞTEFAN,PARTIDUL POPORULUI - DAN DIACONESCU,23,IALOMIŢA,1,,50646,52456,11021,1,21.76%
CAZACU MARINICĂ,ALIANŢA ROMÂNIA DREAPTĂ,23,IALOMIŢA,2,,44962,47323,9534,0,21.20%
TOMA ION,UNIUNEA SOCIAL LIBERALĂ,23,IALOMIŢA,2,,44962,47323,26316,1,58.53%
ELEKES-KÖLLŐ MÁRTA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,23,IALOMIŢA,2,,44962,47323,142,0,0.32%
TUDORACHE VIOREL-VIRGIL,PARTIDUL POPORULUI - DAN DIACONESCU,23,IALOMIŢA,2,,44962,47323,8970,0,19.95%
BALA LIVIU-IOAN,PARTIDUL POPORULUI - DAN DIACONESCU,26,MARAMUREŞ,,1,22620,23261,2441,0,10.79%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,11,0,0.05%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,15,0,0.07%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,15,0,0.07%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,4,0,0.02%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,7,0,0.03%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,7,0,0.03%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,23,0,0.10%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,12,0,0.05%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,42,0,0.19%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,10,0,0.04%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",26,MARAMUREŞ,,1,22620,23261,14,0,0.06%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,82,0,0.36%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,8,0,0.04%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,3,0,0.01%
BÓNIS ISTVÁN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,2107,1,9.31%
BIZĂU SIMION-BOGDAN,PARTIDUL ECOLOGIST ROMÂN,26,MARAMUREŞ,,1,22620,23261,1067,0,4.72%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,21,0,0.09%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,16,0,0.07%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,26,MARAMUREŞ,,1,22620,23261,22,0,0.10%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,26,MARAMUREŞ,,1,22620,23261,21,0,0.09%
ONEŢ VLAD,ALIANŢA ROMÂNIA DREAPTĂ,26,MARAMUREŞ,,1,22620,23261,3943,0,17.43%
DOLHA MIRCEA,UNIUNEA SOCIAL LIBERALĂ,26,MARAMUREŞ,,1,22620,23261,12729,1,56.27%
BIZĂU SIMION,PARTIDUL ECOLOGIST ROMÂN,26,MARAMUREŞ,,2,22783,23563,946,0,4.15%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,14,0,0.06%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,28,0,0.12%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,21,0,0.09%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,9,0,0.04%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,15,0,0.07%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,11,0,0.05%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,21,0,0.09%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,41,0,0.18%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,26,MARAMUREŞ,,2,22783,23563,22,0,0.10%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,75,0,0.33%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,14,0,0.06%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,13,0,0.06%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,10,0,0.04%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,14,0,0.06%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,6,0,0.03%
TALPOŞ OVIDIU-ANTON,ALIANŢA ROMÂNIA DREAPTĂ,26,MARAMUREŞ,,2,22783,23563,3612,0,15.85%
TĂTARU FLORIN-CRISTIAN,UNIUNEA SOCIAL LIBERALĂ,26,MARAMUREŞ,,2,22783,23563,13535,1,59.41%
BÖNDI GYÖNGYIKE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,2102,0,9.23%
MUREŞAN DOREL-GRIGORE,PARTIDUL POPORULUI - DAN DIACONESCU,26,MARAMUREŞ,,2,22783,23563,2183,0,9.58%
STANCU IONEL,ASOCIAŢIA MACEDONENILOR DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,36,0,0.16%
ZISOPOL DRAGOŞ-GABRIEL,UNIUNEA ELENĂ DIN ROMÂNIA,26,MARAMUREŞ,,2,22783,23563,14,0,0.06%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",26,MARAMUREŞ,,2,22783,23563,41,0,0.18%
VICSAI IOAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,1645,0,8.11%
PĂUN NICOLAE,"ASOCIAŢIA PARTIDA ROMILOR ""PRO-EUROPA""",26,MARAMUREŞ,,3,20287,20936,32,0,0.16%
GROSARU MIRCEA,ASOCIAŢIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT.,26,MARAMUREŞ,,3,20287,20936,8,0,0.04%
MERKA ADRIAN-MIROSLAV,UNIUNEA DEMOCRATICĂ A SLOVACILOR ŞI CEHILOR DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,17,0,0.08%
IBRAM IUSEIN,UNIUNEA DEMOCRATĂ TURCĂ DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,8,0,0.04%
MANOLESCU OANA,ASOCIAŢIA LIGA ALBANEZILOR DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,23,0,0.11%
AMET VAROL,UNIUNEA DEMOCRATĂ A TĂTARILOR TURCO-MUSULMANI DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,26,0,0.13%
GHERA GIURECI-SLOBODAN,UNIUNEA CROAŢILOR DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,11,0,0.05%
GVOZDENOVICI SLAVOMIR,UNIUNEA SÂRBILOR DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,9,0,0.04%
VAINER AUREL,FEDERAŢIA COMUNITĂŢILOR EVREIEŞTI DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,11,0,0.05%
PAMBUCCIAN VARUJAN,UNIUNEA ARMENILOR DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,7,0,0.03%
GANŢ OVIDIU-VICTOR,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,49,0,0.24%
MIRCOVICI NICULAE,UNIUNEA BULGARĂ DIN BANAT - ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,15,0,0.07%
IGNAT MIRON,COMUNITATEA RUŞILOR LIPOVENI DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,2,0,0.01%
MAROCICO ION,UNIUNEA UCRAINENILOR DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,9,0,0.04%
LONGHER GHERVAZEN,UNIUNEA POLONEZILOR DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,6,0,0.03%
FIRCZAK GHEORGHE,UNIUNEA CULTURALĂ A RUTENILOR DIN ROMÂNIA,26,MARAMUREŞ,,3,20287,20936,13,0,0.06%
MĂTIEŞ IOAN,ALIANŢA ROMÂNIA DREAPTĂ,26,MARAMUREŞ,,3,20287,20936,4354,0,21.46%
MATEI CĂLIN-VASILE-ANDREI,UNIUNEA SOCIAL LIBERALĂ,26,MARAMUREŞ,,3,20287,20936,11417,1,56.28%
POPP VIOREL,PARTIDUL ECOLOGIST ROMÂN,26,MARAMUREŞ,,3,20287,20936,505,0,2.49%
